_unitId,_unitTypeId,_albumSeriesId,_eponym,_eponymEn,_name,_nameEn,_normalCardId,_rankMaxCardId,_rarity,_attributeId,_masterReleaseLabelId
1,11,363,,,櫻坂雫,櫻坂雫,1,2,1,1,1
2,12,370,,,Coco Miyashita,Coco Miyashita,6,7,1,2,1
3,13,377,,,Yuu Aizawa,Yuu Aizawa,11,12,1,3,1
4,14,363,,,Marika Ichinose,Marika Ichinose,16,17,1,1,1
5,15,370,,,Sana Yuki,Sana Yuki,21,22,1,2,1
6,16,377,,,Fumie Nishimura,Fumie Nishimura,26,27,1,3,1
7,17,363,,,Minami Nagayama,Minami Nagayama,31,32,1,1,1
8,18,370,,,Christina,Christina,36,37,1,2,1
9,19,377,,,Akemi Kikuchi,Akemi Kikuchi,41,42,1,3,1
10,20,377,,,Iruka Suda,Iruka Suda,46,47,1,1,1
11,21,363,,,Aya Sugisaki,Aya Sugisaki,51,52,1,2,1
12,22,370,,,Yuri Mido,Yuri Mido,56,57,1,3,1
13,23,377,,,Reine Saeki,Reine Saeki,61,62,1,1,1
14,24,363,,,Ayumi Torii,Ayumi Torii,66,67,1,2,1
15,25,370,,,Rika Kamiya,Rika Kamiya,71,72,1,3,1
16,26,377,,,Nanaka Morishima,Nanaka Morishima,76,77,1,1,1
17,27,363,,,Seira Kujo,Seira Kujo,81,82,1,2,1
18,28,370,,,近江彼方,近江彼方,86,87,1,3,1
19,29,370,,,Haruka Konoe,Haruka Konoe,91,92,1,1,1
20,30,377,,,Saki Shimozono,Saki Shimozono,96,97,1,2,1
21,31,363,,,Sachiko Tanaka,Sachiko Tanaka,101,102,1,3,1
22,32,370,,,Kasane Hasekura,Kasane Hasekura,106,107,1,1,1
23,33,377,,,Ru Tatara,Ru Tatara,111,112,1,2,1
24,34,363,,,Akiru Shinomiya,Akiru Shinomiya,116,117,1,3,1
25,35,370,,,Mizuki Kikkawa,Mizuki Kikkawa,121,122,1,1,1
26,36,377,,,Nagi Shiraki,Nagi Shiraki,126,127,1,2,1
27,37,363,,,Yumi Fujishiro,Yumi Fujishiro,131,132,1,3,1
28,38,346,,,Satoko Miyama,Satoko Miyama,721,721,2,1,1
29,39,346,,,Nanako Yamauchi,Nanako Yamauchi,722,722,2,2,1
30,40,346,,,Kyoko Sasahara,Kyoko Sasahara,723,723,2,3,1
31,1,193,,,高坂穗乃果,高坂穗乃果,151,152,2,3,1
32,2,193,,,絢瀨繪里,絢瀨繪里,156,157,2,3,1
33,3,193,,,南小鳥,南小鳥,161,162,2,3,1
34,4,193,,,園田海未,園田海未,166,167,2,3,1
35,5,193,,,星空凜,星空凜,171,172,2,3,1
36,6,193,,,西木野真姬,西木野真姬,176,177,2,3,1
37,7,193,,,東條希,東條希,181,182,2,3,1
38,8,193,,,小泉花陽,小泉花陽,186,187,2,3,1
39,9,193,,,矢澤妮可,矢澤妮可,191,192,2,3,1
40,1,194,,,高坂穗乃果,高坂穗乃果,196,197,2,2,1
41,2,194,,,絢瀨繪里,絢瀨繪里,201,202,2,2,1
42,3,194,,,南小鳥,南小鳥,206,207,2,2,1
43,4,194,,,園田海未,園田海未,211,212,2,2,1
44,5,194,,,星空凜,星空凜,216,217,2,2,1
45,6,194,,,西木野真姬,西木野真姬,221,222,2,2,1
46,7,194,,,東條希,東條希,226,227,2,2,1
47,8,194,,,小泉花陽,小泉花陽,231,232,2,2,1
48,9,194,,,矢澤妮可,矢澤妮可,236,237,2,2,1
49,1,195,,,高坂穗乃果,高坂穗乃果,241,242,2,1,1
50,2,195,,,絢瀨繪里,絢瀨繪里,246,247,2,1,1
51,3,195,,,南小鳥,南小鳥,251,252,2,1,1
52,4,195,,,園田海未,園田海未,256,257,2,1,1
53,5,195,,,星空凜,星空凜,261,262,2,1,1
54,6,195,,,西木野真姬,西木野真姬,266,267,2,1,1
55,7,195,,,東條希,東條希,271,272,2,1,1
56,8,195,,,小泉花陽,小泉花陽,276,277,2,1,1
57,9,195,,,矢澤妮可,矢澤妮可,281,282,2,1,1
58,1,1,Ear-to-Ear Smiles!,Full Smile!,高坂穗乃果,高坂穗乃果,286,287,3,1,1
59,2,1,Harasho!,Harasho,絢瀨繪里,絢瀨繪里,291,292,3,3,1
60,3,1,Goddess of Healing,Goddess of Healing,南小鳥,南小鳥,296,297,3,2,1
61,4,1,A Focused Mind,All Psyched Up,園田海未,園田海未,301,302,3,3,1
62,5,1,μ's Was Here,μ's Energy Seal,星空凜,星空凜,306,307,3,1,1
63,6,1,After-School Diva,After-School Song,西木野真姬,西木野真姬,311,312,3,3,1
64,7,1,Spiritual Power,Spiritual Power,東條希,東條希,316,317,3,2,1
65,8,1,Freshly Cooked Rice!,Piping Hot Rice,小泉花陽,小泉花陽,321,322,3,2,1
66,9,1,Nico-Nico-Ni!,With a Smile,矢澤妮可,矢澤妮可,326,327,3,1,1
67,1,2,Stage of Smiles,Stage of Smiles,高坂穗乃果,高坂穗乃果,336,337,4,1,1
68,2,2,Your Heart’s All Mine,Your Heart is Mine,絢瀨繪里,絢瀨繪里,341,342,4,3,1
69,8,2,Feelings About Idols,Love for an Idol,小泉花陽,小泉花陽,331,332,4,2,1
70,1,131,,,高坂穗乃果,高坂穗乃果,346,346,4,1,1
71,4,2,Fire My Love Arrow!,Love Arrow Shot!,園田海未,園田海未,350,351,4,3,1
72,9,2,Little Devil Girl,Little Demon Girl,矢澤妮可,矢澤妮可,355,356,4,1,1
73,4,131,,,園田海未,園田海未,360,360,4,3,1
74,41,384,,,Shun Kurosaki,Shun Kurosaki,364,365,1,1,1
75,42,384,,,Fumi Shitara,Fumi Shitara,369,370,1,2,1
