_id,_title,_message,_buttonId,_masterReleaseLabelId
ErrorStay,錯誤,發生錯誤。<br><br>{0},CloseButton,1
ErrorTitle,錯誤,發生錯誤。 曜 will be returned 至 標題畫面.<br><br>{0},CloseButton,1
Free,{0},{0},CloseButton,1
NetworkError_Retry,連線錯誤,無法連線。<br>請在網路狀況較佳時再試一次。,"CloseButton,RetryButton",1
NetworkError_Title,連線錯誤,connection error occurred.<br>曜 will be returned 至 標題畫面.<br><br>{0},CloseButton,1
NetworkError_ResourceUpdated,連線錯誤,曜 need 至 download update.<br>曜 will be returned 至 標題畫面.,CloseButton,1
ApplicationQuitConfirm,確認,This will end game.<br>Are you sure you want 至 continue?,"CancelButton,OkButton",1
AreaUnlock,Area Unlocked,{0}<br>曜 unlocked new area!,CloseOkButton,1
AreaUnlockDetail_StoryRead,Unlock Conditions,Unlocked 透過 viewing<br>{0}<br>於 story mode.,CloseButton,1
AreaUnlockDetail_UserRank,Unlock Conditions,Unlocked 透過 reaching Player Rank {0}.,CloseButton,1
ChatTalkSkip,跳過,跳過 與 end this conversation?,"CancelButton,OkButton",1
Chat_EncountStoryPlayback,Play How We Met,Play How We Met 為 {0}.,CloseOkButton,1
OrnamentLevelRelease,Equipment 等級 Limit Increased,曜 can now 等級 up {0}<br>至 等級 {1}!,CloseButton,1
DeckNameChangeSuccess,Change Unit Name,Unit name changed.,CloseButton,1
DeckNameChangeEmpty,Input 錯誤,This field cannot be left blank.,CloseButton,1
DeckNameChangeNg,錯誤,This contains inappropriate language.<br>Please enter something else.,CloseButton,1
MainDeckChangeSuccess,Change Main Unit,Main unit changed.,CloseButton,1
PracticeConfirm,確認,These Lesson Notebooks 與 {0} Gold<br>will be used 至 等級 up.<br>Would you like 至 continue?,"CancelButton,OkButton",1
SkillPracticeConfirmByItem,確認,These 技能筆記 與 {0} Gold<br>will be used 至 等級 up.<br>Would you like 至 continue?,"CancelButton,OkButton",1
SkillPracticeConfirmCanAlsoTraining,確認,This 成員 can be Idolized.<br>Do you want 至 quit material selection<br>與 go 至 Idolizing?,"CancelButton,OkButton",1
SkillPracticeConfirmByPhoto,確認,selected 成員 will disappear 來自 你的waiting room.<br>Do you want 至 power up this skill?<br>*They will still appear on 你的成員 清單.,"CancelButton,OkButton",1
TrainingConfirm,確認,These 螢光棒 will be used 至 Idolize.<br>Would you like 至 continue?,"CancelButton,OkButton",1
StaminaChargeConfirm,Restore LP,Your LP will be 恢復.<br><br>Would you like 至 continue?,"CancelButton,OkButton",1
StaminaChargeSuccess,Restore LP,Restored {0} LP!,CloseButton,1
StaminaChargeOver,LP Limit Reached,曜 have more than maximum LP limit.<br><br>LP restoration is not possible.,CloseButton,1
ShopBuySuccess,Purchase 道具,{0} purchased!,CloseButton,1
GachaExec,確認,{1} {0} will be used 至 招募 [{2}].<br>Would you like 至 continue?,"CancelButton,OkButton",1
GachaLackMedal,Not Enough {0},曜 do not have enough {0}。Purchase 與 愛心寶石?,"CancelButton,BuyGemButton",1
GachaLackItem,Not Enough {0},曜 do not have enough {0}.,CloseButton,1
GachaResultGetBonus,Freebie Received,曜 earned free 招募!,CloseButton,1
GachaResultGetMovie,Club 成員 Acquired,{0}<br>{1},CloseButton,1
GachaErrorExpired,錯誤,This has expired.,CloseOkButton,1
GachaTicketExpired,錯誤,This 票券 has expired 與 can no longer be used.,CloseOkButton,1
GameClose_Announce,Notice 的 Termination 的 Service,"""chool Idol Festival 2 MIRACLE LIVE!"" </br> ended its service on 3月 31，2024(Sunday).</br>Thank you very much 為 你的patronage。",CloseOkButton,224031103
