_id,_spriteName,_masterTextId,_masterTextIdColor,_masterReleaseLabelId
CloseButton,common_img_white,按鈕_Close,Common_BlackText,1
OkButton,common_img_white,按鈕_Ok,Common_WhiteText,1
CancelButton,common_img_white,按鈕_Cancel,Common_BlackText,1
CloseOkButton,common_img_white,按鈕_Ok,Common_WhiteText,1
UpdateButton,common_img_white,按鈕_Update,Common_WhiteText,1
RetryButton,common_img_white,按鈕_Retry,Common_WhiteText,1
DownloadButton,common_img_white,按鈕_Download,Common_WhiteText,1
VoiceOnButton,common_img_white,按鈕_VoiceOn,Common_GrayText,1
VoiceOffButton,common_img_white,按鈕_VoiceOff,Common_GrayText,1
ReturnButton,common_img_white,按鈕_Return,Common_BlackText,1
ResumeButton,common_img_white,按鈕_Resume,Common_WhiteText,1
SuspendButton,common_img_white,按鈕_Suspend,Common_BlackText,1
SkipButton,common_img_white,按鈕_Skip,Common_BlackText,1
RestartButton,common_img_white,按鈕_Restart,Common_WhiteText,1
ShopButton,common_img_white,按鈕_商店,Common_WhiteText,1
HomeButton,common_img_white,按鈕_Home,Common_WhiteText,1
BuyGemButton,common_img_white,按鈕_Buy愛心寶石,Common_WhiteText,1
PresentBoxButton,common_img_white,按鈕_PresentBox,Common_WhiteText,1
ChatButton,common_img_white,按鈕_Chat,Common_WhiteText,1
ReleaseButton,common_img_white,按鈕_Release,Common_WhiteText,1
