_masterEventId,_spriteName,_message,_category,_masterReleaseLabelId
101,SubTutorial_miraclecollection_01,Receive various rewards 透過 collecting event pts 期間 Miracle Collection!<br>曜 can 獲得 even more fabulous rewards<br>透過 achieving high rank 期間 event!,,223041903
101,SubTutorial_miraclecollection_02,曜 will 獲得 Miracle Stars as you play through standard 歌曲!<br>曜 can then use these Miracle Stars 至 take on event 歌曲!<br>Event 歌曲 reward lot more event points than standard 歌曲!,,223041903
101,SubTutorial_miraclecollection_03,Create teams 與 specially-selected 成員 的 each event<br>至 more effectively progress through events!,,223041903
101,SubTutorial_miraclecollection_04,Create teams consisting 的 specially-selected 成員 與 event point bonuses<br>至 gain more event points 當 clearing 演唱會s!<br>Idolizing these 成員 will cause their bonuses 至 be further 提升!,,223041903
101,SubTutorial_miraclecollection_05,Specially-selected 成員 與 Miracle Star bonus<br>increase 數量 的 Miracle Stars obtained 來自 event 登入 bonus!<br>Idolizing these 成員 will cause their bonuses 至 be further 提升!,,223041903
101,SubTutorial_miraclecollection_06,曜 can obtain various rewards 透過完成 event goals!<br>Once you have achieved certain 數量 的 event points，new event stories will be unlocked!,,223041903
102,SubTutorial_miraclecollection_01,Receive various rewards 透過 collecting event pts 期間 Miracle Collection!<br>曜 can 獲得 even more fabulous rewards<br>透過 achieving high rank 期間 event!,,223043004
102,SubTutorial_miraclecollection_02,曜 will 獲得 Miracle Stars as you play through standard 歌曲!<br>曜 can then use these Miracle Stars 至 take on event 歌曲!<br>Event 歌曲 reward lot more event points than standard 歌曲!,,223043004
102,SubTutorial_miraclecollection_03,Create teams 與 specially-selected 成員 的 each event<br>至 more effectively progress through events!,,223043004
102,SubTutorial_miraclecollection_04,Create teams consisting 的 specially-selected 成員 與 event point bonuses<br>至 gain more event points 當 clearing 演唱會s!<br>Idolizing these 成員 will cause their bonuses 至 be further 提升!,,223043004
102,SubTutorial_miraclecollection_05,Specially-selected 成員 與 Miracle Star bonus<br>increase 數量 的 Miracle Stars obtained 來自 event 登入 bonus!<br>Idolizing these 成員 will cause their bonuses 至 be further 提升!,,223043004
102,SubTutorial_miraclecollection_06,曜 can obtain various rewards 透過完成 event goals!<br>Once you have achieved certain 數量 的 event points，new event stories will be unlocked!,,223043004
103,SubTutorial_freetour_01,曜 can obtain Total Event pt 獎勵 透過 collecting Event pts.<br>Complete 演唱會s 至 obtain Event pts.,,223051101
103,SubTutorial_freetour_02,曜 can obtain amazing items 透過 completing event challenges.,,223051101
104,SubTutorial_miraclecollection_01,Receive various rewards 透過 collecting event pts 期間 Miracle Collection!<br>曜 can 獲得 even more fabulous rewards<br>透過 achieving high rank 期間 event!,,223051504
104,SubTutorial_miraclecollection_02,曜 will 獲得 Miracle Stars as you play through standard 歌曲!<br>曜 can then use these Miracle Stars 至 take on event 歌曲!<br>Event 歌曲 reward lot more event points than standard 歌曲!,,223051504
104,SubTutorial_miraclecollection_03,Create teams 與 specially-selected 成員 的 each event<br>至 more effectively progress through events!,,223051504
104,SubTutorial_miraclecollection_04,Create teams consisting 的 specially-selected 成員 與 event point bonuses<br>至 gain more event points 當 clearing 演唱會s!<br>Idolizing these 成員 will cause their bonuses 至 be further 提升!,,223051504
104,SubTutorial_miraclecollection_05,Specially-selected 成員 與 Miracle Star bonus<br>increase 數量 的 Miracle Stars obtained 來自 event 登入 bonus!<br>Idolizing these 成員 will cause their bonuses 至 be further 提升!,,223051504
104,SubTutorial_miraclecollection_06,曜 can obtain various rewards 透過完成 event goals!<br>Once you have achieved certain 數量 的 event points，new event stories will be unlocked!,,223051504
105,SubTutorial_freetour_01,曜 can obtain Total Event pt 獎勵 透過 collecting Event pts.<br>Complete 演唱會s 至 obtain Event pts.,,223052601
105,SubTutorial_freetour_02,曜 can obtain amazing items 透過 completing event challenges.,,223052601
106,SubTutorial_miraclecollection_01,Receive various rewards 透過 collecting event pts 期間 Miracle Collection!<br>曜 can 獲得 even more fabulous rewards<br>透過 achieving high rank 期間 event!,,223053104
106,SubTutorial_miraclecollection_02,曜 will 獲得 Miracle Stars as you play through standard 歌曲!<br>曜 can then use these Miracle Stars 至 take on event 歌曲!<br>Event 歌曲 reward lot more event points than standard 歌曲!,,223053104
106,SubTutorial_miraclecollection_03,Create teams 與 specially-selected 成員 的 each event<br>至 more effectively progress through events!,,223053104
106,SubTutorial_miraclecollection_04,Create teams consisting 的 specially-selected 成員 與 event point bonuses<br>至 gain more event points 當 clearing 演唱會s!<br>Idolizing these 成員 will cause their bonuses 至 be further 提升!,,223053104
106,SubTutorial_miraclecollection_05,Specially-selected 成員 與 Miracle Star bonus<br>increase 數量 的 Miracle Stars obtained 來自 event 登入 bonus!<br>Idolizing these 成員 will cause their bonuses 至 be further 提升!,,223053104
