_id,_name,_shortName,_kana,_artist,_detailInfo,_dictionaryReference,_dictionaryComment,_bandCategory,_masterGroupId,_jacketImageName,_masterBgmId,_previewMasterBgmId,_locked,_obtainType,_isAcLevelMusic,_releaseDateTime,_masterReleaseLabelId
1001,我們的演唱會 與你的人生,我們的演唱會 與你的人生,ホクラノライフキミトノライフ,μ's,作詞：畑 亞貴<br>作曲：山田高弘<br>編曲：高田 暁,,記念すべきμ's 1st單曲。LoveLive!系列のはじまりの樂曲。シンプルながらも印象的なギターテーマから何かを予感させる清爽的サウンドが印象的。「ぼららら」の暱稱で今も親しまれている。,1,100,jacket_1001,31001001,32001001,0,0,0,2010/08/25,1
1002,晴天之歌,晴天之歌,サニイテイソンク,μ's,作詞：畑亞貴<br>作曲・編曲：倉内達矢,劇場版『LoveLive!The School Idol Movie』插入曲,μ'sが作った、すべての學園偶像のための歌曲。「もっと手を伸ばしたら面白くなるよ！」という力強いメッセージはすべての人に傳わる優しさと力強さがある。劇場版での、全學園偶像を捲入演唱會場景は精彩壯觀。<br>,1,100,jacket_1002,31001002,32001002,0,0,0,2015/07/08,1
1003,給你的歌！你？你！！,給你的歌！你？你！！,アソンクフオユウユウユウ,μ's,作詞：畑 亞貴<br>作曲・編曲：高田 暁,,μ'sによる樂曲としては最新の單曲。「從今以後」と「いままで」、みんなとのつながりを確かめて、情熱を持ってまた新しい挑戰、新しい冒險をするために勇氣をもらって步いていこう。そんな意志を強く感じる積極向前な樂曲。,1,100,jacket_1003,31001003,32001003,0,0,0,2020/03/25,1
1004,？←心跳,？←心跳,ハテナハアトヒイト,"絢瀨繪里(CV.南條愛乃) , 東條 希(CV.楠田亜衣奈) , 矢澤にこ(CV.徳井青空)",作詞：畑 亞貴<br>作曲・編曲：本田光史郎,劇場版『LoveLive!The School Idol Movie』插入曲,突然スターになってしまったμ'sがその高揚感と戸惑い、ファンからの逃亡を樂しくミュージカル調に描いた樂曲。劇中でも3年生3人がアイドル衣装でダンスしている様子が描かれている。,1,199,jacket_1002,31001004,32001004,0,0,0,2015/07/08,1
1005,放學後領航員,放學後領航員,アフタアスクウルナヒケエタアス,"矢澤にこ( CV.徳井青空) , 星空凜( CV.飯田里穗) , 小泉花陽( CV.久保ユリカ)",作詞：畑 亞貴<br>作曲・編曲：河田貴央,,インターネットラジオ「ラブライ部 ラジオ課外活動 妮可 凜 Pana」の主題曲CDC/W 曲。練習の後、妮可 凜 Panaが何を食べるか早口で議論しながらわちゃわちゃしているような曲。食べたいものと思いを寄せる人とのダブルミーニングも感じさせるが、最後は結局3人でいるのが樂しい！となっており、微笑ましい。,1,199,jacket_1024,31001005,32001005,0,0,0,2012/10/17,1
1006,銀蓮花之心,銀蓮花之心,アネモネハアト,"南小鳥(CV.内田 彩) , 園田海未(CV.三森すずこ)",作詞：畑 亞貴<br>作曲・編曲：高田 暁,,秘密のはかない初戀をアネモネやアカシアになぞらえて歌曲った幼馴染二人の雙人姿勢曲。低音や空間系のエフェクトが効いた本格的なテクノサウンドと、時に囁くような、時に力強い二人のボーカルが絶妙にマッチしている。<br>,1,199,jacket_1006,31001006,32001006,0,0,0,2013/04/24,1
1007,天使般的天使,天使般的天使,エンシエリツクエンシエル,μ's,作詞：畑亞貴<br>作曲：森慎太郎<br>編曲：倉内達矢,劇場版『LoveLive!The School Idol Movie』插入曲,劇場版「LoveLive!The School Idol Movie」插入曲。NYの夜景をバックに和風の衣装で踊る姿が印象的な樂曲。哀愁ただようギターソロと柔らかいドラムの今までの作品にない組み合わせがμ'sの新しい挑戰を象徴している。	,1,100,jacket_1007,31001007,32001007,0,0,0,2015/07/01,1
1008,寶貝 也許 戀愛的按鈕,寶貝 也許 戀愛的按鈕,ヘイヒイメイヒイコイノホタン,μ's,作詞：畑 亞貴<br>作曲・編曲：山口朗彦,,μ's 2nd單曲C/W 曲。友達のままか、戀人か、その切り替えをする戀のボタンを押すのか惱む歌曲詞が甘酸っぱい。1番では押す前、2番では押した後が歌曲われ、最後に相手が戀のボタンを押したのかどうかにも注目。,1,100,jacket_1048,31001008,32001008,0,0,0,2010/12/22,1
1009,天使中的節拍,天使中的節拍,ヒイトインエンシエル,"西木野真姬 , 星空 凜",作詞：畑 亞貴<br>作曲・編曲：倉内達矢,,戀の病を治してくれるというお醫者さん(?)のちょっとマッドさを感じる歌曲詞が魅力。スネアの連打から始まる本格的なユーロビートサウンドに2人の齊唱で一氣にテンションMAX。演唱會では制服に天使の羽を背負って激しいダンスで魅了した。,1,199,jacket_1009,31001009,32001009,0,0,0,2013/06/21,1
1010,應援日 應援女孩！,應援日 應援女孩！,チアテイチアカアル,Printemps,作詞：畑亞貴<br>作曲・編曲：佐々木裕,,Printempsらしさの光る、元氣で甘いチアリーディングテイストの樂曲。穗乃果、ことり、花陽の3人に目の前でポンポンを振って應援されてしまうと、頑張れないなどという氣持ちはどこかに飛んでいってなくなってしまいそう。,1,101,jacket_1010,31001010,32001010,0,0,0,2014/12/25,1
1011,繽紛之聲,繽紛之聲,カラフルホイス,μ's,作詞：畑 亞貴<br>作曲・編曲：渡邊和紀,,從今以後樂しいことをやっていこうかをワイワイと相談するような樂曲。演唱會ではサビ前パートで成員カラーにするためにラブ演唱會レードの設定を前日から一所懸命やっていたという方も多いはず。<br>,1,100,jacket_1083,31001011,32001011,0,0,0,2014/05/08,1
1012,可愛豹,可愛豹,キユウテイイハンサア,BiBi,作詞：畑 亞貴<br>作曲・編曲：佐々木裕,,BiBi 2nd單曲。戀愛を獲物を狙う獣に喩えた歌曲詞がキュート。BiBiの三人ならではのコミカルながらもかっこよさが際立つユーロビート風の樂曲。演唱會での尻尾を使ったダンスパフォーマンスも特徴的。,1,103,jacket_1012,31001012,32001012,0,0,0,2013/07/24,1
1014,群星在我身上起舞！,群星在我身上起舞！,タンシンクスタアスオンミイ,μ's,作詞：畑 亞貴<br>作曲・編曲：佐伯高志,,作中のハロウィンパーティーで披露した曲。オレンジ基調の姬・魔女・海賊というモチーフ衣装も印象的。鐘の音から始まるイントロが怪しくも樂しい雰囲氣を予感させ、シンセの音色が一氣にハロウィンパレードに導いてくれる。<br>,1,100,jacket_1027,31001014,32001014,0,0,0,2014/06/11,1
1015,大膽！！,大膽！！,タアリン,西木野真姬(CV.Pile),作詞：畑 亞貴<br>作曲・編曲：近藤圭一,,大胆不敵という意味の「Daring」という曲名通り、氣高いバラのような真姬が大胆に相手に迫っていくようなクールな曲調。K-POPを彷彿とさせるEDMサウンドとキレキレのダンスが相まって一氣に魅了されたファンも多いはず。<br>,1,190,jacket_1049,31001015,32001015,0,0,0,2012/07/25,1
1016,逐夢前進！前進！！,逐夢前進！前進！！,トリイミンコオコオ,μ's,作詞：畑 亞貴<br>作曲：TSUKASA<br>編曲：Kon-K,,演唱會が終わったら日常が始まる。その氣持ちを持って歸って自分の夢を本氣の行動でつかんでほしい、そんなメッセージが力強く投げかけられるファンファーレ的な樂曲。全員が演唱會でかいた汗をぬぐったタオルを回していたのが印象的だった。,1,100,jacket_1016,31001016,32001016,0,0,0,2015/01/31,1
1017,無盡遊行,無盡遊行,エントレスハレエト,μ's,作詞：畑 亞貴<br>作曲：矢吹香那<br>編曲：前口 渉,,第一音からLoveLive!らしさの集大成のような樂曲。演唱會が終わりに近づくといつも感じる、「歸りたくない」「もっと歌曲って踊っていたい」という氣持ちを描いている。演唱會表題曲にはなっているが、演唱會では未披露。,1,100,jacket_1017,31001017,32001017,0,0,0,2014/02/08,1
1019,未來風格,未來風格,フユウチヤアスタイル,"高坂穗乃果(CV.新田恵海) , 南小鳥(CV.内田 彩) , 園田海未(CV.三森すずこ)",作詞：畑 亞貴<br>作曲・編曲：本田光史郎,劇場版『LoveLive!The School Idol Movie』插入曲,劇中で「世界で一番樂しい演唱會」の實現に向けて奔走する穗乃果たちをミュージカル調に歌曲った樂曲。未来の學園偶像のスタイルを示すかのように、力強く未来を描く言葉が歌曲詞に並ぶ。,1,199,jacket_1123,31001019,32001019,0,0,0,2015/07/15,1
