_id,_name,_type,_filename,_masterReleaseLabelId
1,電飾,3,fe_00000001,1
2,花びら,2,fe_00000002,1
3,シャボン玉,3,fe_00000003,1
4,[凝視著你] 上原步夢,4,fe_30010012,223100302
5,[成熟約會♡] 中須霞,4,fe_30020011,223101002
6,[有點小心機地決定] 櫻坂雫,4,fe_30030012,223101702
7,[尋找特別的戀愛] 朝香果林,4,fe_30040011,223102402
8,[兩人一起開心] 宮下愛,4,fe_30050012,223103102
9,[一直都想著你] 近江彼方,4,fe_30060011,223110702
10,[邂逅的預感] 優木雪菜,4,fe_30070014,223111402
11,[記憶中的你] 艾瑪・維爾德,4,fe_30080011,223112102
12,[啊～嗯，摔倒了] 天王寺璃奈,4,fe_30090013,223112802
13,[私的象徵] 三船栞子,4,fe_30100013,223120502
14,[做得很好吃喔] 米雅・泰勒,4,fe_30110014,223121202
15,[來談最棒的戀愛吧！] 鐘嵐珠,4,fe_30120013,223121902
16,雪の結晶,2,fe_00000016,223121205
