_id,_name,_category,_detailText,_priority,_spriteName,_masterReleaseLabelId
4293000001,稱號：音乃木坂學院 學生,4293,身為音乃木坂學院學生的證明。,1,title_s_0000_00000_0001,1
4293000002,稱號：SIF 新手,4293,開始遊玩 SIF 的證明！,2,title_s_0000_00000_0002,1
4293000003,稱號：I Love 演唱會!,4293,授予熱愛演唱會並參加過許多演唱會的玩家的稱號。,3,title_s_0000_00000_0003,1
4293000004,稱號：全接！！,4293,稱號 given至skillful players who have gotten many FULL COMBO.,4,title_s_0000_00000_0004,1
4293000005,稱號：穗乃果粉絲,4293,獻給喜愛穗乃果的人！,5,title_s_0000_00000_0005,1
4293000006,稱號：繪里粉絲,4293,獻給喜愛繪里的人！,6,title_s_0000_00000_0006,1
4293000007,稱號：小鳥粉絲,4293,獻給喜愛小鳥的人！,7,title_s_0000_00000_0007,1
4293000008,稱號：海未粉絲,4293,獻給喜愛海未的人！,8,title_s_0000_00000_0008,1
4293000009,稱號：凜粉絲,4293,獻給喜愛凜的人！,9,title_s_0000_00000_0009,1
4293000010,稱號：真姬粉絲,4293,獻給喜愛真姬的人！,10,title_s_0000_00000_0010,1
4293000011,稱號：希粉絲,4293,獻給喜愛希的人！,11,title_s_0000_00000_0011,1
4293000012,稱號：花陽粉絲,4293,獻給喜愛花陽的人！,12,title_s_0000_00000_0012,1
4293000013,稱號：妮可粉絲,4293,獻給喜愛妮可的人！,13,title_s_0000_00000_0013,1
4293000014,稱號：Printemps,4293,獻給Printemps支持者的稱號。,14,title_s_0000_00000_0014,1
4293000015,稱號：lily white,4293,獻給lily white支持者的稱號。,15,title_s_0000_00000_0015,1
4293000016,稱號：BiBi,4293,獻給BiBi支持者的稱號。,16,title_s_0000_00000_0016,1
4293000017,稱號：Bustling Idol Study Club,4293,bustling idol study club與plenty的成員.,17,title_s_0000_00000_0017,1
4293000018,稱號：華麗 Idol Study Club,4293,fabulous idol study club full的Idolized 成員.,18,title_s_0000_00000_0018,1
4293000019,稱號：Friendly Idol Study Club,4293,friendly idol study club full的成員與deep bonds.,19,title_s_0000_00000_0019,1
4293000020,稱號：Hardworking Idol Study Club,4293,hard-working idol study club full的high-等級 成員.,20,title_s_0000_00000_0020,1
4293000021,稱號：I Made Friend!,4293,擁有許多好友的證明！,21,title_s_0000_00000_0021,1
4293000022,稱號：招募 Master,4293,授予招募過許多成員的招募達人的稱號。,22,title_s_0000_00000_0022,1
4293000023,稱號：浦之星女學院 學生,4293,身為浦之星女學院學生的證明。,23,title_s_0000_00000_0023,1
4293000901,SIF National Tournament 2016 Online Qualifier,4293,參加SIF National Tournament 2016 online qualifier的證明。,901,title_s_0000_00000_0901,1
4293000902,SIF National Tournament 2017 Online Qualifier,4293,參加SIF National Tournament 2017 online qualifier的證明。,902,title_s_0000_00000_0902,1
4293000024,稱號：音乃木坂學院 一年級 學生,4293,稱號為支持者的一年級生的音乃木坂學院.,24,title_s_0000_00000_0024,1
4293000025,稱號：音乃木坂學院 二年級 學生,4293,稱號為支持者的二年級生的音乃木坂學院.,25,title_s_0000_00000_0025,1
4293000026,稱號：音乃木坂學院 三年級 學生,4293,稱號為支持者的三年級生的音乃木坂學院.,26,title_s_0000_00000_0026,1
4293000027,稱號：浦之星女學院 一年級 學生,4293,稱號為支持者的一年級生的浦之星女學院.,27,title_s_0000_00000_0027,1
4293000028,稱號：浦之星女學院 二年級 學生,4293,稱號為支持者的二年級生的浦之星女學院.,28,title_s_0000_00000_0028,1
4293000029,稱號：浦之星女學院 三年級 學生,4293,稱號為支持者的三年級生的浦之星女學院.,29,title_s_0000_00000_0029,1
